tconst,ordering_M,nconst_M,primaryName_M,knownForTitles_M,age_M,ordering_F,nconst_F,primaryTitle,startYear,genres,primaryName_F,birthYear,deathYear,primaryProfession,knownForTitles_F,age_F,age_gap
tt0037274,1.0,nm0134662,Eddie Cantor,"tt0025347,tt0023088,tt0032487,tt0036422",52,3.0,nm0204843,Show Business,1944,"Comedy,Musical,Romance",Joan Davis,1912,1961,"actress,producer,soundtrack","tt0033723,tt0037736,tt0036633,tt0036978",32,20
tt0037313,1.0,nm0579663,Adolphe Menjou,"tt0050825,tt0021890,tt0029606,tt0016935",54,4.0,nm0002038,Step Lively,1944,"Comedy,Music,Romance",Gloria DeHaven,1925,2016,"actress,soundtrack,archive_footage","tt0037365,tt0045702,tt0037408,tt0042589",19,35
tt0037420,1.0,nm0001414,Danny Kaye,"tt0056748,tt0047673,tt0049096,tt0052809",33,3.0,nm0794918,Up in Arms,1944,"Comedy,Musical",Dinah Shore,1916,1994,"actress,music_department,soundtrack","tt0043192,tt0036636,tt0070982,tt0418689",28,5
tt0037508,1.0,nm0000011,Gary Cooper,"tt0044706,tt0034167,tt0035896,tt0027996",44,2.0,nm0949835,Along Came Jones,1945,"Comedy,Romance,Western",Loretta Young,1913,2000,"actress,producer,soundtrack","tt0038991,tt0039370,tt0024334,tt0032397",32,12
tt0037735,1.0,nm0114878,Wally Brown,"tt0038787,tt0038270,tt0037261,tt0036865",42,3.0,nm0420331,Genius at Work,1946,"Comedy,Crime",Anne Jeffreys,1923,2017,"actress,soundtrack,archive_footage","tt0039772,tt0037642,tt0037644,tt0038478",23,19
tt0037736,2.0,nm0355095,Jack Haley,"tt0032138,tt0039075,tt0038091,tt0037151",48,1.0,nm0204843,George White's Scandals,1945,"Comedy,Music",Joan Davis,1912,1961,"actress,producer,soundtrack","tt0033723,tt0037736,tt0036633,tt0036978",33,15
tt0037822,2.0,nm0642671,Michael O'Shea,"tt0036094,tt0041179,tt0041963,tt0041733",39,1.0,nm0377012,It's a Pleasure,1945,"Comedy,Drama,Musical",Sonja Henie,1912,1969,"actress,writer,producer","tt0034241,tt0040251,tt0037822,tt0029659",33,6
tt0037891,1.0,nm0259816,Leon Errol,"tt0031641,tt0031370,tt0035061,tt0036959",64,2.0,nm0728230,Mama Loves Papa,1945,Comedy,Elisabeth Risdon,1888,1958,"actress,soundtrack,archive_footage","tt0032181,tt0033717,tt0031641,tt0045125",57,7
tt0037892,1.0,nm0002285,Pat O'Brien,"tt0053291,tt0029870,tt0039772,tt0021890",46,3.0,nm0237655,Man Alive,1945,Comedy,Ellen Drew,1914,2003,"actress,soundtrack,archive_footage","tt0032338,tt0037820,tt0033916,tt0042229",31,15
tt0037970,1.0,nm0856062,Phillip Terry,"tt0037884,tt0039815,tt0039211,tt0054020",36,2.0,nm0518879,Pan-Americana,1945,"Comedy,Musical,Romance",Audrey Long,1922,2014,actress,"tt0039211,tt0037970,tt0037130,tt0039313",23,13
